"Date","Water","Height","D","Height_se","D_se","D2H","D2H_se","LM","LM_se","WM","WM_se","RM","RM_se","TM","TM_se"
2011-01-07,"Rewatered drought",41.25,0.64475,1.33035083092143,0.0344264312217614,17.147730703125,1.40801311945316,3.90397869669654,0.320558639401342,2.01072277224948,0.165101965497659,3.59056657824635,0.294824133640002,9.50526804719236,0.465765788870982
2011-01-07,"Sustained drought",38.4166666666667,0.568166666666667,1.17966567768631,0.0228169040649934,12.4014132893519,0.800673310752956,3.23029686655605,0.20855788179248,1.57985829082891,0.10200050096908,3.14559340226679,0.203089166122552,7.95574855965175,0.308456968882311
2011-01-07,"Well watered",48.2166666666667,0.73825,2.1460687573121,0.020636840035884,26.2787131635417,1.56438048800834,5.01047599762386,0.298275293677298,2.7626336019639,0.164460492244517,4.27423368322147,0.254446545141197,12.0473432828092,0.425156969438205
2011-01-18,"Rewatered drought",50.25,0.704158333333333,1.32884661768518,0.0216804843759954,24.9159076597396,1.26931193268937,4.85691150076943,0.247429706681105,2.65529086900762,0.135270704596427,4.1823046411069,0.213062644941372,11.6945070108839,0.353433606126702
2011-01-18,"Sustained drought",43.5666666666667,0.5935,1.29786148892879,0.0187078414931636,15.3460206916667,0.822786100423896,3.65869687258771,0.196163226475007,1.85128848809879,0.0992579422696597,3.43146151845532,0.183979866719304,8.94144687914182,0.286671836570572
2011-01-18,"Well watered",55.1166666666667,0.789166666666667,2.5623448462514,0.0334376700411045,34.3257796643518,2.6032999635136,5.85726323457772,0.444220446380752,3.37024582888252,0.255602667416569,4.76679156406182,0.361518031815794,13.9943006275221,0.627184036707843
2011-01-27,"Rewatered drought",53.86,0.7426,1.77132718603876,0.0199670979363552,29.7013533736,1.49322342757338,5.38220255802319,0.270588038548072,3.0261713643632,0.152139531161408,4.49332397559738,0.225900030333396,12.9016978979838,0.383920756474478
2011-01-27,"Sustained drought",45.64,0.6117,1.00727354775155,0.0257767336953308,17.0774332596,1.08526504361119,3.89461554067994,0.24750148575336,2.00458518754232,0.127390703152508,3.58454946078398,0.227796892410477,9.48375018900624,0.359689867652234
2011-01-27,"Well watered",57.38,0.8233,3.05195019618604,0.033937663443437,38.8934774282,3.06924252920459,6.30100117573806,0.497237636332339,3.69861114575528,0.29187245209685,5.01623997810281,0.395851903597759,15.0158522995962,0.699380815336229
2011-01-31,"Rewatered drought",55.8,0.780625,1.87661041952417,0.0198088521878477,34.003146796875,1.6723500639198,5.82501949629389,0.286487359101024,3.34664332895336,0.164595330500595,4.74844767270245,0.233539172606624,13.9201104979497,0.404607433062055
2011-01-31,"Sustained drought",45.8,0.6425,0.762670745909836,0.0224239455344802,18.90652625,0.984858878749711,4.13327931961401,0.21530643876341,2.16226878118776,0.112634630986011,3.73659828648665,0.194642947631235,10.0321463872884,0.31133470691992
2011-01-31,"Well watered",60.175,0.831,4.1809837359167,0.0375954341199389,41.554508175,3.92487976731701,6.5495270150026,0.618611726997774,3.88532848650148,0.366974555488169,5.15362744386802,0.486767115556826,15.5884829453721,0.868500442108362
2011-02-07,"Rewatered drought",57.9,0.7825,1.96044212700435,0.022488886144049,35.452531875,1.87543225360825,5.96889506381015,0.315753423776383,3.45223404580461,0.182622530298661,4.83006676914341,0.255509621650482,14.2511958787582,0.445349727691807
2011-02-07,"Sustained drought",47.0333333333333,0.612166666666667,0.606446846622009,0.00845740963757685,17.6256489064815,0.412603112050336,3.96721651765785,0.0928695385939064,2.05228036692859,0.0480423314164143,3.63109236838506,0.0850011264428948,9.6505892529715,0.13475165417586
2011-02-07,"Well watered",63.7,0.895333333333333,5.60446250768082,0.055400310869565,51.0633072444444,6.33644417370729,7.38789239461752,0.916763332538428,4.52924672301559,0.562034081967094,5.60597176388538,0.695644858081608,17.5231108815185,1.28072599948425
2011-02-15,"Rewatered drought",57.7666666666667,0.7635,1.86577359588754,0.0170171482138851,33.674052975,1.51971486917037,5.79199883125605,0.261393742909773,3.32250907432792,0.149945313887766,4.72963001681211,0.213448885037988,13.8441379223961,0.369284053965563
2011-02-15,"Sustained drought",46.7666666666667,0.604166666666667,1.29914501799367,0.00589726867098469,17.0706452546296,0.529532219055721,3.89371057616184,0.120783085290612,2.003992193231,0.0621639321316314,3.58396766540193,0.111174845623925,9.48167043479477,0.175535621598264
2011-02-15,"Well watered",65.8666666666667,0.939833333333333,5.63333333333333,0.0354087245997054,58.1791502740741,5.86243867565443,7.97332518771322,0.803434387298871,4.99103564768739,0.502923130962455,5.91267192170922,0.595792073053542,18.8770327571098,1.11955646783216
2011-02-27,"Rewatered drought",55.75,0.68625,0.75,0.02425,26.254852734375,1.358770360954,5.00781621206516,0.259170078419449,2.76076665374985,0.142878268660559,4.27264873827437,0.22112287305781,12.0412316040894,0.369430174989432
2011-02-27,"Sustained drought",44.4,0.541,0.899999999999998,0.016,12.9950364,0.603986688065499,3.31980227592143,0.15429863525939,1.63579890169015,0.076029087611714,3.20622046600921,0.149019550300969,8.16182164362079,0.227585846172127
2011-02-27,"Well watered",71.25,0.9785,9.25,0.031,68.2191853125,9.36910642762349,8.75092229634376,1.20183672611647,5.61879779885811,0.771676095685538,6.30975313014522,0.866570721089055,20.6794732253471,1.67058083538141
