Species,Date,Day,Temp,CO2,Water,Potnum,XylemPressure,PLC
E. radiata,25/03/2012,0,Elv,640,Wet,304,0.052,1.86 
E. radiata,25/03/2012,0,Elv,640,Wet,315,0.026,2.68 
E. radiata,25/03/2012,0,Elv,640,Wet,316,0.1165,6.22 
E. radiata,25/03/2012,0,Elv,400,Wet,402,0.37,1.25 
E. radiata,25/03/2012,0,Elv,400,Wet,413,0.1415,34.87 
E. radiata,25/03/2012,0,Elv,400,Wet,418,0.055,1.49 
E. radiata,25/03/2012,0,Amb,400,Wet,503,0.053,6.78 
E. radiata,25/03/2012,0,Amb,400,Wet,505,0.2175,67.18 
E. radiata,25/03/2012,0,Amb,400,Wet,514,0.066,13.94 
E. radiata,25/03/2012,0,Amb,640,Wet,612,0.053,6.75 
E. radiata,25/03/2012,0,Amb,640,Wet,613,0.0475,27.77 
E. radiata,25/03/2012,0,Amb,640,Wet,617,0.0435,0.32 
E. radiata,6/06/2012,73,Elv,640,Wet,302,0.22,23.97
E. radiata,6/06/2012,73,Elv,640,Dry,305,5.52,100
E. radiata,6/06/2012,73,Elv,640,Dry,306,4.19,75.34
E. radiata,6/06/2012,73,Elv,640,Wet,307,0.19,9.92
E. radiata,6/06/2012,73,Elv,640,Wet,310,0.11,15.02
E. radiata,6/06/2012,73,Elv,640,Dry,313,5.39,100
E. radiata,6/06/2012,73,Elv,400,Wet,401,0.25,10.77
E. radiata,6/06/2012,73,Elv,400,Dry,407,2.97,80.84
E. radiata,6/06/2012,73,Elv,400,Wet,410,0.35,26.56
E. radiata,6/06/2012,73,Elv,400,Wet,415,0.29,42.35
E. radiata,6/06/2012,73,Elv,400,Dry,417,2.80,53.51
E. radiata,6/06/2012,73,Elv,400,Dry,419,2.20,49.07
E. radiata,6/06/2012,73,Amb,400,Dry,509,2.05,44.58
E. radiata,6/06/2012,73,Amb,400,Dry,510,1.82,9.97
E. radiata,6/06/2012,73,Amb,400,Wet,511,0.44,2.67
E. radiata,6/06/2012,73,Amb,400,Wet,512,0.28,6.28
E. radiata,6/06/2012,73,Amb,400,Dry,513,1.80,27.27
E. radiata,6/06/2012,73,Amb,400,Wet,516,0.29,33.51
E. radiata,6/06/2012,73,Amb,640,Dry,604,1.65,41.89
E. radiata,6/06/2012,73,Amb,640,Wet,606,0.60,12.76
E. radiata,6/06/2012,73,Amb,640,Dry,608,2.02,15.22
E. radiata,6/06/2012,73,Amb,640,Wet,609,0.20,36.13
E. radiata,6/06/2012,73,Amb,640,Dry,615,2.06,53.08
E. radiata,6/06/2012,73,Amb,640,Wet,616,0.26,9.6
